993859:{date_stamp=-4327, umbrella=2425, payload=........, name=4rvcje2117o2akqhsosouz401lnbljlf9id8dcyg, time=81169001, id=0l0erz78oa6qanncnrp7gaj3xlicd0kt, value=96482}
993884:{date_stamp=9424, umbrella=30, payload=........, name=iddrn07ejujvfcdtu6gwj0b8i9t80dijwz4bx7tv, time=5110220, id=jcrdnu9t44rp6n79k68f1brkv57fyk2h, value=83420}
993885:{date_stamp=1701, umbrella=9434, payload=........, name=ksr1quu1u7rafqogdlort0cz48wtbiny06vrl8ja, time=19116061, id=bsu17t4gzwqxt9yyrgupjkcsr8rt5773, value=88056}
993886:{date_stamp=-15591, umbrella=5871, payload=........, name=mo8lyu2qmb578ekc7x5n4v036znqf0b7v3x8d3hm, time=3611462, id=dzh6u9meiul3612coydx4k328g356u53, value=85790}
993887:{date_stamp=-23175, umbrella=4963, payload=........, name=5um075icibe8jc8a7sy018czl9024r2ishig4ij8, time=10957018, id=8zt6b9dym2jepiqfrhrhx1jtkiq37t6i, value=67170}
993888:{date_stamp=6548, umbrella=8845, payload=........, name=nstpjz5ucqw13e2mjn9yv6ztaow6loajixqhciyp, time=70782637, id=rha89eehy3ivxwqc5vk254r7mzkakf5y, value=86285}
993889:{date_stamp=12647, umbrella=2371, payload=........, name=8g8j32pnyjgkpete8a3dhq9omuivrd8jafr454no, time=74143047, id=lgj94i8lict4nvp81sthj09s8xou0iz3, value=17937}
993890:{date_stamp=-23634, umbrella=6753, payload=........, name=0lkwjjbib3cpshn6yv3sul16unxj9a2m7aurqb5n, time=41537468, id=9j7rup5sg8ou3fz0gwatsaoavb1np0e1, value=47599}
993891:{date_stamp=-22182, umbrella=2996, payload=........, name=bdzo4zfs39zdzel722stb28vnc8ug71zqgkkcaer, time=76606440, id=fvipl74pg1jtpruyunnagoru1fb67ihl, value=85532}
993892:{date_stamp=16174, umbrella=6383, payload=........, name=hmlejlljtl13gybsetnq7ggug2y1tfcc63puzcok, time=78610150, id=5hzrxokc1oz6lc5k2pm7119pcdw9w1vj, value=84593}
993893:{date_stamp=-5000, umbrella=1227, payload=........, name=6mtq978vifpyypbrz52wi02ggxbmao543l83obul, time=57712787, id=6b3edgv6mqwz5rom9g6p4kdrvjp8qryz, value=17195}
993894:{date_stamp=-16457, umbrella=5230, payload=........, name=b5xzix3o8w5tx557ookuz5cnio7q6h9f40e4oxzo, time=60770109, id=nl7rq1s5gousqcgji9mj4miplp25tb3k, value=6804}
993895:{date_stamp=-8304, umbrella=2472, payload=........, name=zrq3o9l5d4u5ukusvgr57zbrdnay6zsr6f31fzf6, time=25621089, id=ljoztrh7uuae9m97t79l1yk1356zvmkz, value=8841}
993896:{date_stamp=-15345, umbrella=7289, payload=........, name=mwekkucvvb8lmud9xhyq2ukmkxtbfci1btuu4w1j, time=76021607, id=8xrbp5f8vi22koib7twqnh0cvg3qfvos, value=99154}
993897:{date_stamp=4110, umbrella=4895, payload=........, name=8wvrs8xy5iqhgp7nhnw7scgnulu3l8ll0kuylnmm, time=45727970, id=xc6v36zcvst2z2u9wizbes3dnsuoe3ec, value=36503}
993898:{date_stamp=12004, umbrella=7136, payload=........, name=49v2a4w3g172satwkk7vflyx5li6bhuxsfeegswc, time=36998505, id=lierrh0ueorixolal0sbn31qurwzhe8i, value=21478}
993899:{date_stamp=5308, umbrella=6319, payload=........, name=owpv15tpanyg4cy9ncla291ptf93tveox5ama4xw, time=82324617, id=0f6elyfm0949a75qanm0zuqkn0tybrg2, value=3855}
993900:{date_stamp=-24589, umbrella=6921, payload=........, name=lqeymm9gavl6r0bc899mmhzgt52miioc3zrjh9ys, time=61453408, id=h4vi9vfudnaur7acyqnv018p7w4jpgyd, value=23348}
993901:{date_stamp=4414, umbrella=6645, payload=........, name=u6yv1fmmu828e6qobkjj1uq6fhs33hqqz65exogt, time=85342053, id=2cfvzjbtzwv58j1uz8mtusop0zfrcmta, value=3169}
993902:{date_stamp=-2516, umbrella=1796, payload=........, name=cs42e1k786x0y7ivlr1p9292v5wc7t5attdz3nim, time=29471244, id=2wc0a5hxm3gfgnagob00cx7jk7zvrqgh, value=26746}
993903:{date_stamp=-19223, umbrella=9721, payload=........, name=dayxwxrb636x08l3qbkti8foiyx5wtebf0cfjhbo, time=74266825, id=ovumcr58rlkqafgrocp28didj9k0av0h, value=36877}
993904:{date_stamp=-23430, umbrella=8089, payload=........, name=2zxaw766xo4jg3acuuco4nbzdrj5lp2zwsbamhzu, time=51189070, id=3pcbf9wb52men8oloufmwex8d2wh7u0i, value=90008}
993905:{date_stamp=12614, umbrella=4753, payload=........, name=2ldl6rtrkls123vemeatobxa6s19jk6ddm8h0k1c, time=4516119, id=y1dduz8nadv609du5371gf5gyumi8eoh, value=97515}
993906:{date_stamp=-1825, umbrella=6674, payload=........, name=p3rl4a7p2zpsmlz3goyrcbo0cnp8cv1y0hpr59y2, time=47953594, id=s0o4wg9jp0pzznwdlplmpof2onweza3c, value=12942}
993907:{date_stamp=-22703, umbrella=5057, payload=........, name=ad3l6udc87bimbtp5b7h3s82xptdu5kvrhp3qy3g, time=22459667, id=zyk90ucyljrvr73qaygydxhcst4tiv8h, value=59858}
993908:{date_stamp=-10193, umbrella=3035, payload=........, name=3gvrwb47ktqremwwxo3a7vrm7a17e67loavsbd19, time=44882597, id=srrsok3njn7ullr2qx7hifx0nqzju06w, value=58254}
993909:{date_stamp=5720, umbrella=3576, payload=........, name=8u5ek8rff84vlsp4yspew8sq5owrrohlefyi2729, time=82236812, id=rtc2ce9opyihymanp4i6z28vfpnwid3c, value=23392}
993910:{date_stamp=2061, umbrella=3804, payload=........, name=amkiaexekgnxwuksw1lb24gp9i2fziey7d629ze3, time=23475831, id=28734l9ot0xvm9u7czvxq329ay9eqcvh, value=61583}
993911:{date_stamp=7041, umbrella=5015, payload=........, name=20rseyuktr1d8lvmqrgctpd46lr3cwve4uz3wun4, time=28056204, id=txxyz7slnh2jnguicoys3sq576mxwwkh, value=74289}
993912:{date_stamp=3708, umbrella=1263, payload=........, name=h7u7uzbluo049pfcoj9lhm1gcpuvvuxmxr652xbl, time=74525275, id=z3bqq6gc9p3htz3czelm35ow1x3ez0i2, value=57476}
993913:{date_stamp=7694, umbrella=385, payload=........, name=hp2uiehsz9rdzidc276ih0ir8prl1j9hxg8ma7ex, time=78634894, id=47qeuvn0j22k5xaakoute22jkc0iaug0, value=53402}
993914:{date_stamp=-17351, umbrella=9582, payload=........, name=2ldxh20cbt1h5qr0u4vkdhxxka0h1h4t3zjp65r7, time=21511582, id=pe20qb0m5sjx7rrpof6zdw6aovzlm67u, value=41813}
993915:{date_stamp=-21509, umbrella=9486, payload=........, name=8hy43i0avq9j0i4h3lkar8tcmomlxo2wviwln2bv, time=7808157, id=80f98h3etet4w7zhte3qhhh5ocae38vz, value=53504}
993916:{date_stamp=7459, umbrella=2950, payload=........, name=1r7qpj3uknar8o9tg3474lrh2u7p5ekkokeddcqe, time=65742418, id=m2pgjkoqvo8qwztp7j26fk6godb6dro3, value=71142}
993917:{date_stamp=-24650, umbrella=980, payload=........, name=xe5dn74dxaqfll8xx4exw5yyn005u0cgavhtwgpi, time=46106255, id=ux6rls73jho7u3ccvwtrlwsxkihns98k, value=6908}
993918:{date_stamp=-15921, umbrella=2817, payload=........, name=8vb9atoaymb4dkum5m1z42qeqvjpc2dvqj8hj6vd, time=49852326, id=n3qb1f0q67eqyzvo4jbpgv785p1us38a, value=10269}
993919:{date_stamp=11153, umbrella=3980, payload=........, name=4vl2shs1lax5aaclgq48wcxm2uvnrr8x802obv38, time=62272242, id=u78aghvcr4sghaa9vcuzc5r3zb3tq43f, value=67247}
993920:{date_stamp=-13733, umbrella=7307, payload=........, name=z5q8n1s6jj5zd2ws7k27s78elys1vr3npb3qedl3, time=80291357, id=yrzulp7q75in05h66xebc53ltyxjcfdu, value=78385}
993921:{date_stamp=10193, umbrella=9963, payload=........, name=7vg9qwq26fie03pd3xwny3nk654hp9r8b2p721i9, time=18476115, id=hawlxzags4tt9u8v5x2e1zqrd53rsqu2, value=59631}
993922:{date_stamp=5577, umbrella=3681, payload=........, name=80qys2wifskrgc4ca1q7oneqfe0kr30ely26t7c1, time=28053467, id=kshi96617xkc4hvlbydfxqzogy5loybs, value=45000}
993923:{date_stamp=5658, umbrella=6675, payload=........, name=ro6tunltp6jlxp00j5m5d2vbi806ts44qyf9w9qq, time=25518069, id=3hkymzo9wglc0tszuukd4ggzf4mbd1ph, value=27749}
993924:{date_stamp=15013, umbrella=5250, payload=........, name=vvaubemkm2t7db4m19e3puqcgm6ajnbhv3uwan6u, time=67199811, id=jkoyw3ghsbrl5vmd062md7k2vufdcwp7, value=1210}
993925:{date_stamp=1830, umbrella=2957, payload=........, name=lnsfy4lbt706yp27vhate27p0omvmygw1kedmszd, time=56804056, id=o5x03svaf64sqy1rc5lrblblh0as3wdt, value=88794}
993926:{date_stamp=-5120, umbrella=9362, payload=........, name=uuum01i5yojkl8o97rjpve8e2u1kdvpwjkzmhbbq, time=6203565, id=3v15qpooyg59wkd6aqnx2rerydgp9lb7, value=67087}
993927:{date_stamp=-19816, umbrella=2836, payload=........, name=kznul3gzarji0enmb83mzd1jgi1s4o7p3mlj3p66, time=19737957, id=xmib8ypy7v7qxedbf7zwxyvluxhno9lv, value=15432}
993928:{date_stamp=-16227, umbrella=8748, payload=........, name=yoqqljh9k6qmeir0fg985vp89vg1lam2q0w4uh96, time=56033430, id=y76rnt1szjncm62mu3wjzmegfn6umftf, value=23832}
993929:{date_stamp=10474, umbrella=2723, payload=........, name=neg9hozlhu4iws9xd69nly6e8gg7q6s2ffo91q43, time=75726170, id=a1b5d66sg1ergy0212cf39dg27dyq7da, value=92606}
993930:{date_stamp=-4204, umbrella=4022, payload=........, name=rzvepy119ou7ds5neu155b7yyxsehghl0di0vx65, time=77922821, id=6ajj3kakrqm4klg6zduuh4zlnzdq5tdu, value=43570}
993931:{date_stamp=-19979, umbrella=1180, payload=........, name=3kdh58e1x2dtunktq6excng213no6u67szpfqhc4, time=61844519, id=xo4yqaty3f4v9dhq5v1115b17ahxsncg, value=44433}
993932:{date_stamp=-18124, umbrella=4515, payload=........, name=e6aslla3ynq58ew7i1j2q0cwjj1e7yeekq8kjt5e, time=1445938, id=hyaxkwtg1dhgzws4i8q16kh301wggqhm, value=44221}
993933:{date_stamp=-2859, umbrella=2652, payload=........, name=fg6oxvgu0npfj2ivkalg7u3hx3ry97y4hyjh8lro, time=60163755, id=c36qqa3iiw7rqpgenun9f7edt5nwmg0a, value=87358}
993934:{date_stamp=-23491, umbrella=1326, payload=........, name=2jw5etv8hv4poew4u9izd8lx4qpv2xydfhw74egc, time=30796638, id=czqx4714u3kfcmdwx9u76j3iyysmldmo, value=25880}
993935:{date_stamp=-5567, umbrella=4527, payload=........, name=b8b2gq814xfu4rjz12ctspg2rfzgva2xgoe912t3, time=10805948, id=9unkpjnqtcuj1k96tibyhvfufit79yjh, value=84239}
993936:{date_stamp=2971, umbrella=8546, payload=........, name=2jtql9tubfaikkxiv35kxbtm5hizf9win7ay50gl, time=47248965, id=n2u3w1lfmvty3epgmg7imyxyhzitjnq4, value=88263}
993937:{date_stamp=17589, umbrella=4214, payload=........, name=z5tgrtrpdzo81jo9s5waw9qhoyjym5yo1un5s8py, time=65561600, id=2kloyl5wu5l5tbw0jj6ehzkwg7p67haa, value=70219}
993938:{date_stamp=-11731, umbrella=7679, payload=........, name=vced2j94d05gmez8mnz3y7gil9bfu0gp8iik5gug, time=13672195, id=ff6wwi7eriejzuxhhqwu7wvrb831rdli, value=22761}
993939:{date_stamp=-20578, umbrella=9166, payload=........, name=56t9qfw5wxf933hxrld2rect93jwi9nh11jolfp8, time=7715787, id=n1k19arqq8766bum8y34bffeoaj878v6, value=19169}
993940:{date_stamp=-3187, umbrella=8990, payload=........, name=frxohjenvstryvx9xv5o9xn0xofqahz5zsveufil, time=45702735, id=0x78pjhg05aw8dyfaumed2z41es3jpfa, value=54822}
993941:{date_stamp=-24461, umbrella=7189, payload=........, name=4vwdaea9woemyzsh66mzi6whz2jft5ud2s931qr6, time=55793689, id=76wql2pm3k8h3lzpr3t74lv6icxqa1u4, value=65863}
993942:{date_stamp=-18408, umbrella=6081, payload=........, name=4v00ne5216rmrl3gckb5t85c4r4fzttm1gbp5tnm, time=2866881, id=1smq0b4q7jtottabwsfenzcs25gfi3u5, value=31459}
993943:{date_stamp=8036, umbrella=1253, payload=........, name=5y2hrohw3d8g9ax7eknchmslxupxt7r3l9121y8d, time=33837296, id=i8377qhbxhqepee5kdyrpsekxbbb386q, value=90802}
993944:{date_stamp=-17882, umbrella=2642, payload=........, name=zlvseuy4lw2k5fpai3qppsc8q9n3st9grxop9dfz, time=70556221, id=93jvglq88bj8lvdf1du8dmtsi8tgvv1d, value=6045}
993945:{date_stamp=-14434, umbrella=2263, payload=........, name=nme4l3hqr19mg91jfy8kpr9uy220eizxuqftphhs, time=49406473, id=1beopxs493qc99r8onfb99yl7wos77s9, value=47634}
993946:{date_stamp=15073, umbrella=2134, payload=........, name=5esiq3f8pd0ekdoyrv6laefenqcyy57izn9abv07, time=49748182, id=9kj5lra5nteo2nqqgsxptfn6yos8e4bx, value=56566}
993947:{date_stamp=-22137, umbrella=6927, payload=........, name=sp4ny9joa161zg6pjyaihnkiy9sy1ttf2ep9ji5t, time=41309561, id=479allm5yb130x5lkn3avl3n5oefancr, value=58970}
993948:{date_stamp=12232, umbrella=8587, payload=........, name=kbwrhzyjy64s1p3iasnou5rpgdhmiwuorotz40rk, time=29743757, id=z1mfaijt4nfpypy41gci8alod4rca8u0, value=3689}
993949:{date_stamp=-4859, umbrella=8277, payload=........, name=u31zqphrpofs049olnc9e5vpdt9amyfq888f8wto, time=78296735, id=wst0oks6iki1whmeoh93m8stctb9kspi, value=74146}
993950:{date_stamp=1964, umbrella=94, payload=........, name=z4m05ryvky96iql6s7v0zh1tykvdpn1s83xkqlj1, time=68574571, id=bykjkrk9xuapyzslxkpowt1qqw62j2py, value=23517}
993951:{date_stamp=-13371, umbrella=3762, payload=........, name=j2x8sph4gk7na87ev70fw4wcmbav4antnz88wtip, time=8381052, id=zl1dkwgg1bi9trqxbato8jkit3c477dw, value=36621}
993952:{date_stamp=16658, umbrella=7829, payload=........, name=23cvxhkzooow1qf26yqk813sm4ltlwphxao4obx3, time=36758605, id=zyeimaaxlhjtxz0013be4se2o62p9943, value=52355}
993953:{date_stamp=5768, umbrella=996, payload=........, name=vs8rh79795u4dxizx7gadtq7oqtw3nc631bkaz51, time=78149275, id=gsnw3fj22aaub2wuiwirc05ys18y79y2, value=36028}
993954:{date_stamp=17319, umbrella=2737, payload=........, name=x6pxjpwm5c2dhfzpjm9yw798z7dts2c6nz88g4ob, time=1932892, id=u30q3fdtz3qkf1mbx6a8aij4gcdy2csj, value=95413}
993955:{date_stamp=4511, umbrella=9967, payload=........, name=5e0qfljtmks4e0gmn68lplh52oq4d21yy7ebv476, time=34721048, id=nrucpyv2hnlk42lldgyx72723zg1jm9j, value=690}
993956:{date_stamp=-16405, umbrella=8257, payload=........, name=o41xl95u6w474nlgpqc3qy3n8sa5hsa2bi56cerj, time=57751033, id=dsa8u3ge0xq0v50cda0q9bvcwik4i160, value=97786}
993957:{date_stamp=810, umbrella=582, payload=........, name=dq4yr7dm1dflrkshgu4juqnq6r2pfcge3xpkbzyc, time=58139596, id=f4rve0n60brvoc5e89hyxkxal7zb22ep, value=10465}
993958:{date_stamp=13351, umbrella=3572, payload=........, name=uaiudeyl7dcxql0gdv6f0jh1jk8v4opwzti0yvdb, time=68861360, id=8rwm84iexxjzje14nkukqgt0yqa9w46k, value=42229}
993959:{date_stamp=-18749, umbrella=9055, payload=........, name=lflyapwcgq4nwfogcln8yeguelhep0dsdag0g26a, time=21398324, id=axbabqdku6l45itz7y611fcu1i1objhv, value=50822}
993960:{date_stamp=14036, umbrella=3359, payload=........, name=khg5io0c7ht15vl5h9qchql7bairum8o7dakyr8p, time=14846844, id=h5mch4k0dd86ygxh2x59qqrpkzc52jv6, value=77708}
993961:{date_stamp=11596, umbrella=1924, payload=........, name=ppgep52czhmq0a9cy1menwd712ccazz33yodh1md, time=45610418, id=7axr5k2xjtqzfpccal3j2vv4wchrb2tt, value=76493}
993962:{date_stamp=16462, umbrella=1755, payload=........, name=kqb031rhk6piqsi0yw8onqr3zlthz824lbi2pnj2, time=24012050, id=6v68uyboqbnj7jsgwr7kjatde8g2sjgs, value=45492}
993963:{date_stamp=5757, umbrella=8655, payload=........, name=7juulvvmx9ii851qw1u1821iojc4whqx6589szuy, time=47157164, id=9lck3fnv0modunjfkziytkd5vx5m61km, value=87878}
993964:{date_stamp=3028, umbrella=6137, payload=........, name=177ysm8niprhstlt55taqiifaygs3it6kf6ccny2, time=69753296, id=gt0vlx1ssllt19kckjeam9yqkfz1tb10, value=72065}
993965:{date_stamp=-2175, umbrella=8601, payload=........, name=7ugb9x7fb9d3w46mage43982z2rod39yzhjoce4n, time=14049321, id=1cfyc5jzz644p9jgycjjlh52zo415gvz, value=10279}
993966:{date_stamp=-9011, umbrella=8797, payload=........, name=c0axp3pkz25l8m7802d1ome0lf5142f9c0up883o, time=37834038, id=17bokcocv0xvlwbnfs8ooilbwuf4m7wl, value=88734}
993967:{date_stamp=-24330, umbrella=8757, payload=........, name=jwqq6654xb9h1hci24zp539v9bc49cmiaj0u0l5f, time=63367256, id=uvz1rh9tlqcdo166uhmrxqp37qomlp1o, value=22344}
993968:{date_stamp=-21782, umbrella=9425, payload=........, name=7sibz60t0e4c8n8u96l1vda5lcv1de5n3w0xapzb, time=38159761, id=mda184sb2b404sry0ynjzvemd7ac66cw, value=68599}
993969:{date_stamp=1949, umbrella=8786, payload=........, name=jvbdlf2mm2zruur4tzd5posdm52k26yrx367xs5i, time=14274400, id=cqk81irh8kke2szfgkm5bs0rmnr2tra1, value=19266}
993970:{date_stamp=-11912, umbrella=1171, payload=........, name=bqu2orilwl5pabukwa9kkwutc5dac5u07p0qkvl0, time=12763314, id=o4iipeetufmsqgbnrpn4bb02ryi4dvgz, value=59474}
993971:{date_stamp=-7646, umbrella=3317, payload=........, name=x0owxy4h1vp05rl4gsbzbv49yzda6mq6coqz46su, time=26238602, id=t5iuzfjoayavdsw2k5ysisb5qda3qdvy, value=68613}
993972:{date_stamp=-15151, umbrella=9647, payload=........, name=pj490ai3qa4m06mmssr86kvmhhx8f0qrwlxl6ocm, time=49052750, id=imwy427kpn5wooj4524d9k1wjrkevcv1, value=67645}
993973:{date_stamp=-6500, umbrella=294, payload=........, name=4ovyj4q3w4jeu41q84nxhfwu6rly3cmdtfe2d3t5, time=38646407, id=9f1lpe9kddmlyk0qhx2nabks5varl20g, value=60682}
993974:{date_stamp=1335, umbrella=2488, payload=........, name=ztzzfoz2koy7mrdyyq8l1u8utuxop3b8obnmcfki, time=55573216, id=jdll4bxupiqe1dprfzt6k4mysuet1w8d, value=54148}
993975:{date_stamp=-24915, umbrella=3234, payload=........, name=37xjngk8ll97a731vmlljnfdotxexlc0213rxw7a, time=52299334, id=716g9lnn51ve18hnjyd7lh140dmznyea, value=23467}
993976:{date_stamp=13895, umbrella=5371, payload=........, name=3naq3eb9i86bz8a19nayz4ew31bepawnziohiwzm, time=32780220, id=jsa38e86h5of1bxcyn93ga05ooibroo5, value=40380}
993977:{date_stamp=2159, umbrella=9095, payload=........, name=ydn941jhvhifgq9momowrgduo5r0j4lrnxr7nbjb, time=77581636, id=ywlnxvu66iueyzmgizmu762aao7sbbqt, value=72585}
993978:{date_stamp=1960, umbrella=3926, payload=........, name=xftyjjoudrtla8htei2vp48q8xao54nzmjehp4l3, time=82025399, id=6orw9n7huvhsdcwnyxq7hn6lrl42kk1b, value=30644}
993979:{date_stamp=-7694, umbrella=2544, payload=........, name=7rjls59buuyco9h97de51ttp2e82l8k48pbtppte, time=74426417, id=9vqrl3u1o4xxn47vdxjf3ystfvnmodtl, value=47721}
993980:{date_stamp=-12205, umbrella=9697, payload=........, name=jvesn82qtdtdg1o5z0nq5y6adius2n914y254un6, time=2691303, id=eqy9rxlsbh4z20197z2bt468tmy0me6e, value=63260}
993981:{date_stamp=16877, umbrella=9402, payload=........, name=dm9krzkorz8ddajhalui4ni4dtax5kjp9xmn3x5q, time=14355640, id=cztvoazjb8t6edawh5nqn7wdifb6g99n, value=49760}
993982:{date_stamp=-1876, umbrella=771, payload=........, name=ps3uy2xllsidtinhvi98tovkh1vqmnizrx41vbfj, time=82349877, id=d0ygo6ig1zyfb3l73mhj7nuvyqtworji, value=77560}
993983:{date_stamp=10193, umbrella=6233, payload=........, name=441nydxjf4ifz4j7ebhpmh422j2sxsrdesvkldec, time=48120712, id=ximwtonakuvloxet2r3x631j9c4p1f2n, value=78071}
993984:{date_stamp=-16368, umbrella=5102, payload=........, name=jkwwp8m14iq943j2s3736dlp8iulk3xhcsdh4nl6, time=1071801, id=5u1dgh94oz0svphli0ors9pw0b66tlhq, value=5948}
993985:{date_stamp=-20560, umbrella=6335, payload=........, name=zy58phwgakxueyexjmci50cr8f7m9yb8i3ot6ill, time=35087928, id=vu33c185j2pjdab2munm774cwqws7pft, value=33548}
993986:{date_stamp=-23474, umbrella=1155, payload=........, name=o60j97m7pponl9crj9nz8vii67mj8drd3pspw36e, time=36196746, id=qhijmntp1bnrazqqmiww2nin9y9cjafg, value=79903}
993987:{date_stamp=-6573, umbrella=1710, payload=........, name=e53ag642yq5lamvy5wsnyt6bbuznczzk9i1ksn42, time=56096771, id=8ee70ybxdchikk2qvz9ncyeye0vlrb13, value=40957}
993988:{date_stamp=1406, umbrella=7488, payload=........, name=4y18o3fq3mk12rbb4kirkkd7cvxgskdz8mq106yi, time=7044119, id=vrjd0eiyz1ri3zah9ejaf51jt4qpff6f, value=58965}
993989:{date_stamp=-7650, umbrella=9593, payload=........, name=7ewxggkk86ye7vcil7e713jbhoptjuq1gxyy6jm7, time=32876741, id=soum28uifzsd2xgbn1k4ljyntp1npwis, value=17039}
993990:{date_stamp=-17481, umbrella=3547, payload=........, name=4vhaxmu9ycp0af5ttt9063ie4on7087sc2uj69j9, time=9917762, id=hd103u5e3dr85sibm2x14lna95fmmebr, value=58194}
993991:{date_stamp=-2179, umbrella=3277, payload=........, name=pvudjvola1lbq3bft4g5ea569hvjrillvkvpveoh, time=13471522, id=n021gk7jzlrdijfe103t8dxb7kqa05d0, value=35266}
